,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev,PPR_disparity,PPR_ref_group_value,PPrev_disparity,PPrev_ref_group_value,FDR_disparity,FDR_ref_group_value,FOmR_disparity,FOmR_ref_group_value,FPR_disparity,FPR_ref_group_value,FNR_disparity,FNR_ref_group_value
55,1.0,Assoc-acdm,education,9769,1,1.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871,18.9375,Preschool,1.0,10th,2.62085032032615,Doctorate,1.0,10th,1.0,10th,1.0,10th
56,1.0,Assoc-voc,education,9769,1,1.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542,25.375,Preschool,1.0,10th,2.5898290350623006,Doctorate,1.0,10th,1.0,10th,1.0,10th
57,1.0,Bachelors,education,9769,1,1.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784,102.0,Preschool,1.0,10th,2.1783989331026525,Doctorate,1.0,10th,1.0,10th,1.0,10th
58,1.0,Doctorate,education,9769,1,1.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728,7.812499999999999,Preschool,1.0,10th,1.0,Doctorate,1.0,10th,1.0,10th,1.0,10th
59,1.0,HS-grad,education,9769,1,1.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491,200.875,Preschool,1.0,10th,3.1056682162597458,Doctorate,1.0,10th,1.0,10th,1.0,10th
60,1.0,Masters,education,9769,1,1.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759,30.062499999999996,Preschool,1.0,10th,1.5592515592515592,Doctorate,1.0,10th,1.0,10th,1.0,10th
61,0.0,Preschool,education,9769,1,1.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0,1.0,Preschool,1.0,10th,3.676470588235294,Doctorate,1.0,10th,1.0,10th,1.0,10th
62,1.0,Prof-school,education,9769,1,1.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461,11.125,Preschool,1.0,10th,1.115333773959022,Doctorate,1.0,10th,1.0,10th,1.0,10th
63,1.0,Some-college,education,9769,1,1.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853,137.9375,Preschool,1.0,10th,2.965164316746182,Doctorate,1.0,10th,1.0,10th,1.0,10th
64,1.0,10th,education,9769,1,2.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,18.25,Preschool,1.0,10th,3.4498388396454467,Doctorate,1.0,10th,1.0,10th,1.0,10th
65,1.0,11th,education,9769,1,2.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141,21.3125,Preschool,1.0,10th,3.514749008107642,Doctorate,1.0,10th,1.0,10th,1.0,10th
66,1.0,12th,education,9769,1,2.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931,7.25,Preschool,1.0,10th,3.4229208924949286,Doctorate,1.0,10th,1.0,10th,1.0,10th
67,1.0,1st-4th,education,9769,1,2.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446,2.8125,Preschool,1.0,10th,3.5130718954248366,Doctorate,1.0,10th,1.0,10th,1.0,10th
68,1.0,5th-6th,education,9769,1,2.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506,4.9375,Preschool,1.0,10th,3.4903201787043927,Doctorate,1.0,10th,1.0,10th,1.0,10th
69,1.0,7th-8th,education,9769,1,2.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858,11.4375,Preschool,1.0,10th,3.5358405657344902,Doctorate,1.0,10th,1.0,10th,1.0,10th
70,1.0,9th,education,9769,1,2.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126,9.4375,Preschool,1.0,10th,3.481690689520841,Doctorate,1.0,10th,1.0,10th,1.0,10th
71,1.0,Assoc-acdm,education,9769,1,2.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871,18.9375,Preschool,1.0,10th,2.62085032032615,Doctorate,1.0,10th,1.0,10th,1.0,10th
72,1.0,Assoc-voc,education,9769,1,2.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542,25.375,Preschool,1.0,10th,2.5898290350623006,Doctorate,1.0,10th,1.0,10th,1.0,10th
73,1.0,Bachelors,education,9769,1,2.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784,102.0,Preschool,1.0,10th,2.1783989331026525,Doctorate,1.0,10th,1.0,10th,1.0,10th
74,1.0,Doctorate,education,9769,1,2.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728,7.812499999999999,Preschool,1.0,10th,1.0,Doctorate,1.0,10th,1.0,10th,1.0,10th
75,1.0,HS-grad,education,9769,1,2.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491,200.875,Preschool,1.0,10th,3.1056682162597458,Doctorate,1.0,10th,1.0,10th,1.0,10th
76,1.0,Masters,education,9769,1,2.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759,30.062499999999996,Preschool,1.0,10th,1.5592515592515592,Doctorate,1.0,10th,1.0,10th,1.0,10th
77,0.0,Preschool,education,9769,1,2.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0,1.0,Preschool,1.0,10th,3.676470588235294,Doctorate,1.0,10th,1.0,10th,1.0,10th
78,1.0,Prof-school,education,9769,1,2.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461,11.125,Preschool,1.0,10th,1.115333773959022,Doctorate,1.0,10th,1.0,10th,1.0,10th
79,1.0,Some-college,education,9769,1,2.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853,137.9375,Preschool,1.0,10th,2.965164316746182,Doctorate,1.0,10th,1.0,10th,1.0,10th
80,1.0,10th,education,9769,1,5.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,18.25,Preschool,1.0,10th,3.4498388396454467,Doctorate,1.0,10th,1.0,10th,1.0,10th
81,1.0,11th,education,9769,1,5.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141,21.3125,Preschool,1.0,10th,3.514749008107642,Doctorate,1.0,10th,1.0,10th,1.0,10th
82,1.0,12th,education,9769,1,5.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931,7.25,Preschool,1.0,10th,3.4229208924949286,Doctorate,1.0,10th,1.0,10th,1.0,10th
83,1.0,1st-4th,education,9769,1,5.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446,2.8125,Preschool,1.0,10th,3.5130718954248366,Doctorate,1.0,10th,1.0,10th,1.0,10th
84,1.0,5th-6th,education,9769,1,5.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506,4.9375,Preschool,1.0,10th,3.4903201787043927,Doctorate,1.0,10th,1.0,10th,1.0,10th
85,1.0,7th-8th,education,9769,1,5.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858,11.4375,Preschool,1.0,10th,3.5358405657344902,Doctorate,1.0,10th,1.0,10th,1.0,10th
86,1.0,9th,education,9769,1,5.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126,9.4375,Preschool,1.0,10th,3.481690689520841,Doctorate,1.0,10th,1.0,10th,1.0,10th
87,1.0,Assoc-acdm,education,9769,1,5.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871,18.9375,Preschool,1.0,10th,2.62085032032615,Doctorate,1.0,10th,1.0,10th,1.0,10th
88,1.0,Assoc-voc,education,9769,1,5.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542,25.375,Preschool,1.0,10th,2.5898290350623006,Doctorate,1.0,10th,1.0,10th,1.0,10th
89,1.0,Bachelors,education,9769,1,5.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784,102.0,Preschool,1.0,10th,2.1783989331026525,Doctorate,1.0,10th,1.0,10th,1.0,10th
90,1.0,Doctorate,education,9769,1,5.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728,7.812499999999999,Preschool,1.0,10th,1.0,Doctorate,1.0,10th,1.0,10th,1.0,10th
91,1.0,HS-grad,education,9769,1,5.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491,200.875,Preschool,1.0,10th,3.1056682162597458,Doctorate,1.0,10th,1.0,10th,1.0,10th
92,1.0,Masters,education,9769,1,5.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759,30.062499999999996,Preschool,1.0,10th,1.5592515592515592,Doctorate,1.0,10th,1.0,10th,1.0,10th
93,0.0,Preschool,education,9769,1,5.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0,1.0,Preschool,1.0,10th,3.676470588235294,Doctorate,1.0,10th,1.0,10th,1.0,10th
94,1.0,Prof-school,education,9769,1,5.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461,11.125,Preschool,1.0,10th,1.115333773959022,Doctorate,1.0,10th,1.0,10th,1.0,10th
95,1.0,Some-college,education,9769,1,5.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853,137.9375,Preschool,1.0,10th,2.965164316746182,Doctorate,1.0,10th,1.0,10th,1.0,10th
96,1.0,10th,education,9769,1,10.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835,18.25,Preschool,1.0,10th,3.4498388396454467,Doctorate,1.0,10th,1.0,10th,1.0,10th
97,1.0,11th,education,9769,1,10.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141,21.3125,Preschool,1.0,10th,3.514749008107642,Doctorate,1.0,10th,1.0,10th,1.0,10th
98,1.0,12th,education,9769,1,10.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931,7.25,Preschool,1.0,10th,3.4229208924949286,Doctorate,1.0,10th,1.0,10th,1.0,10th
99,1.0,1st-4th,education,9769,1,10.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446,2.8125,Preschool,1.0,10th,3.5130718954248366,Doctorate,1.0,10th,1.0,10th,1.0,10th
100,1.0,5th-6th,education,9769,1,10.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506,4.9375,Preschool,1.0,10th,3.4903201787043927,Doctorate,1.0,10th,1.0,10th,1.0,10th
101,1.0,7th-8th,education,9769,1,10.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858,11.4375,Preschool,1.0,10th,3.5358405657344902,Doctorate,1.0,10th,1.0,10th,1.0,10th
102,1.0,9th,education,9769,1,10.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126,9.4375,Preschool,1.0,10th,3.481690689520841,Doctorate,1.0,10th,1.0,10th,1.0,10th
103,1.0,Assoc-acdm,education,9769,1,10.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871,18.9375,Preschool,1.0,10th,2.62085032032615,Doctorate,1.0,10th,1.0,10th,1.0,10th
104,1.0,Assoc-voc,education,9769,1,10.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542,25.375,Preschool,1.0,10th,2.5898290350623006,Doctorate,1.0,10th,1.0,10th,1.0,10th
105,1.0,Bachelors,education,9769,1,10.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784,102.0,Preschool,1.0,10th,2.1783989331026525,Doctorate,1.0,10th,1.0,10th,1.0,10th
106,1.0,Doctorate,education,9769,1,10.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728,7.812499999999999,Preschool,1.0,10th,1.0,Doctorate,1.0,10th,1.0,10th,1.0,10th
107,1.0,HS-grad,education,9769,1,10.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491,200.875,Preschool,1.0,10th,3.1056682162597458,Doctorate,1.0,10th,1.0,10th,1.0,10th
108,1.0,Masters,education,9769,1,10.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759,30.062499999999996,Preschool,1.0,10th,1.5592515592515592,Doctorate,1.0,10th,1.0,10th,1.0,10th
109,0.0,Preschool,education,9769,1,10.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0,1.0,Preschool,1.0,10th,3.676470588235294,Doctorate,1.0,10th,1.0,10th,1.0,10th
110,1.0,Prof-school,education,9769,1,10.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461,11.125,Preschool,1.0,10th,1.115333773959022,Doctorate,1.0,10th,1.0,10th,1.0,10th
111,1.0,Some-college,education,9769,1,10.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853,137.9375,Preschool,1.0,10th,2.965164316746182,Doctorate,1.0,10th,1.0,10th,1.0,10th
