,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev
0,0.0, 10th,education,10,1,10_abs,1.0,0.06164383561643835,0.0,0.0,1.0,0.9383561643835616,0.0,0,292,0.0,0.0,0,18,274,0,274,18,292,9769,0.06164383561643835
1,0.0, 10th,education,50,1,50_abs,1.0,0.06164383561643835,0.0,0.0,1.0,0.9383561643835616,0.0,0,292,0.0,0.0,0,18,274,0,274,18,292,9769,0.06164383561643835
2,0.0, 10th,education,100,1,100_abs,0.9927007299270073,0.06206896551724138,1.0,0.0072992700729927005,1.0,0.9379310344827586,0.0,2,290,0.02,0.00684931506849315,2,18,272,0,274,18,292,9769,0.06164383561643835
3,1.0, 10th,education,9769,1,1.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835
4,1.0, 10th,education,9769,1,2.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835
5,1.0, 10th,education,9769,1,5.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835
6,1.0, 10th,education,9769,1,10.0_pct,0.0,0.0,0.9383561643835616,1.0,0.0,0.0,0.06164383561643835,292,0,0.02989046985361859,1.0,274,0,0,18,274,18,292,9769,0.06164383561643835
7,0.0, 11th,education,10,1,10_abs,1.0,0.04398826979472141,0.0,0.0,1.0,0.9560117302052786,0.0,0,341,0.0,0.0,0,15,326,0,326,15,341,9769,0.04398826979472141
8,0.0, 11th,education,50,1,50_abs,0.99079754601227,0.04437869822485207,1.0,0.009202453987730062,1.0,0.9556213017751479,0.0,3,338,0.06,0.008797653958944282,3,15,323,0,326,15,341,9769,0.04398826979472141
9,0.0, 11th,education,100,1,100_abs,0.9815950920245399,0.04477611940298507,1.0,0.018404907975460124,1.0,0.9552238805970149,0.0,6,335,0.06,0.017595307917888565,6,15,320,0,326,15,341,9769,0.04398826979472141
10,1.0, 11th,education,9769,1,1.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141
11,1.0, 11th,education,9769,1,2.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141
12,1.0, 11th,education,9769,1,5.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141
13,1.0, 11th,education,9769,1,10.0_pct,0.0,0.0,0.9560117302052786,1.0,0.0,0.0,0.04398826979472141,341,0,0.034906336370150476,1.0,326,0,0,15,326,15,341,9769,0.04398826979472141
14,0.0, 12th,education,10,1,10_abs,1.0,0.06896551724137931,0.0,0.0,1.0,0.9310344827586207,0.0,0,116,0.0,0.0,0,8,108,0,108,8,116,9769,0.06896551724137931
15,0.0, 12th,education,50,1,50_abs,1.0,0.06896551724137931,0.0,0.0,1.0,0.9310344827586207,0.0,0,116,0.0,0.0,0,8,108,0,108,8,116,9769,0.06896551724137931
16,0.0, 12th,education,100,1,100_abs,0.9907407407407407,0.06956521739130435,1.0,0.009259259259259259,1.0,0.9304347826086956,0.0,1,115,0.01,0.008620689655172414,1,8,107,0,108,8,116,9769,0.06896551724137931
17,1.0, 12th,education,9769,1,1.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931
18,1.0, 12th,education,9769,1,2.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931
19,1.0, 12th,education,9769,1,5.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931
20,1.0, 12th,education,9769,1,10.0_pct,0.0,0.0,0.9310344827586207,1.0,0.0,0.0,0.06896551724137931,116,0,0.011874296243218344,1.0,108,0,0,8,108,8,116,9769,0.06896551724137931
21,0.0, 1st-4th,education,10,1,10_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446
22,0.0, 1st-4th,education,50,1,50_abs,1.0,0.044444444444444446,0.0,0.0,1.0,0.9555555555555556,0.0,0,45,0.0,0.0,0,2,43,0,43,2,45,9769,0.044444444444444446
23,0.0, 1st-4th,education,100,1,100_abs,0.9767441860465116,0.045454545454545456,1.0,0.023255813953488372,1.0,0.9545454545454546,0.0,1,44,0.01,0.022222222222222223,1,2,42,0,43,2,45,9769,0.044444444444444446
24,1.0, 1st-4th,education,9769,1,1.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446
25,1.0, 1st-4th,education,9769,1,2.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446
26,1.0, 1st-4th,education,9769,1,5.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446
27,1.0, 1st-4th,education,9769,1,10.0_pct,0.0,0.0,0.9555555555555556,1.0,0.0,0.0,0.044444444444444446,45,0,0.004606408025386427,1.0,43,0,0,2,43,2,45,9769,0.044444444444444446
28,0.0, 5th-6th,education,10,1,10_abs,1.0,0.05063291139240506,0.0,0.0,1.0,0.9493670886075949,0.0,0,79,0.0,0.0,0,4,75,0,75,4,79,9769,0.05063291139240506
29,0.0, 5th-6th,education,50,1,50_abs,1.0,0.05063291139240506,0.0,0.0,1.0,0.9493670886075949,0.0,0,79,0.0,0.0,0,4,75,0,75,4,79,9769,0.05063291139240506
30,0.25, 5th-6th,education,100,1,100_abs,1.0,0.038461538461538464,0.0,0.0,0.75,0.9615384615384616,1.0,1,78,0.01,0.012658227848101266,0,3,75,1,75,4,79,9769,0.05063291139240506
31,1.0, 5th-6th,education,9769,1,1.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506
32,1.0, 5th-6th,education,9769,1,2.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506
33,1.0, 5th-6th,education,9769,1,5.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506
34,1.0, 5th-6th,education,9769,1,10.0_pct,0.0,0.0,0.9493670886075949,1.0,0.0,0.0,0.05063291139240506,79,0,0.008086805200122837,1.0,75,0,0,4,75,4,79,9769,0.05063291139240506
35,0.0, 7th-8th,education,10,1,10_abs,1.0,0.03825136612021858,0.0,0.0,1.0,0.9617486338797814,0.0,0,183,0.0,0.0,0,7,176,0,176,7,183,9769,0.03825136612021858
36,0.0, 7th-8th,education,50,1,50_abs,0.9943181818181818,0.038461538461538464,1.0,0.005681818181818182,1.0,0.9615384615384616,0.0,1,182,0.02,0.00546448087431694,1,7,175,0,176,7,183,9769,0.03825136612021858
37,0.0, 7th-8th,education,100,1,100_abs,0.9943181818181818,0.038461538461538464,1.0,0.005681818181818182,1.0,0.9615384615384616,0.0,1,182,0.01,0.00546448087431694,1,7,175,0,176,7,183,9769,0.03825136612021858
38,1.0, 7th-8th,education,9769,1,1.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858
39,1.0, 7th-8th,education,9769,1,2.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858
40,1.0, 7th-8th,education,9769,1,5.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858
41,1.0, 7th-8th,education,9769,1,10.0_pct,0.0,0.0,0.9617486338797814,1.0,0.0,0.0,0.03825136612021858,183,0,0.0187327259699048,1.0,176,0,0,7,176,7,183,9769,0.03825136612021858
42,0.0, 9th,education,10,1,10_abs,1.0,0.052980132450331126,0.0,0.0,1.0,0.9470198675496688,0.0,0,151,0.0,0.0,0,8,143,0,143,8,151,9769,0.052980132450331126
43,0.0, 9th,education,50,1,50_abs,1.0,0.052980132450331126,0.0,0.0,1.0,0.9470198675496688,0.0,0,151,0.0,0.0,0,8,143,0,143,8,151,9769,0.052980132450331126
44,0.0, 9th,education,100,1,100_abs,0.993006993006993,0.05333333333333334,1.0,0.006993006993006993,1.0,0.9466666666666667,0.0,1,150,0.01,0.006622516556291391,1,8,142,0,143,8,151,9769,0.052980132450331126
45,1.0, 9th,education,9769,1,1.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126
46,1.0, 9th,education,9769,1,2.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126
47,1.0, 9th,education,9769,1,5.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126
48,1.0, 9th,education,9769,1,10.0_pct,0.0,0.0,0.9470198675496688,1.0,0.0,0.0,0.052980132450331126,151,0,0.01545705804074112,1.0,143,0,0,8,143,8,151,9769,0.052980132450331126
49,0.0, Assoc-acdm,education,10,1,10_abs,1.0,0.2871287128712871,0.0,0.0,1.0,0.7128712871287128,0.0,0,303,0.0,0.0,0,87,216,0,216,87,303,9769,0.2871287128712871
50,0.0, Assoc-acdm,education,50,1,50_abs,1.0,0.2871287128712871,0.0,0.0,1.0,0.7128712871287128,0.0,0,303,0.0,0.0,0,87,216,0,216,87,303,9769,0.2871287128712871
51,0.0, Assoc-acdm,education,100,1,100_abs,0.9953703703703703,0.28807947019867547,1.0,0.004629629629629629,1.0,0.7119205298013245,0.0,1,302,0.01,0.0033003300330033004,1,87,215,0,216,87,303,9769,0.2871287128712871
52,1.0, Assoc-acdm,education,9769,1,1.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871
53,1.0, Assoc-acdm,education,9769,1,2.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871
54,1.0, Assoc-acdm,education,9769,1,5.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871
55,1.0, Assoc-acdm,education,9769,1,10.0_pct,0.0,0.0,0.7128712871287128,1.0,0.0,0.0,0.2871287128712871,303,0,0.031016480704268604,1.0,216,0,0,87,216,87,303,9769,0.2871287128712871
56,0.0, Assoc-voc,education,10,1,10_abs,0.9965034965034965,0.2962962962962963,1.0,0.0034965034965034965,1.0,0.7037037037037037,0.0,1,405,0.1,0.0024630541871921183,1,120,285,0,286,120,406,9769,0.2955665024630542
57,0.0, Assoc-voc,education,50,1,50_abs,0.993006993006993,0.297029702970297,1.0,0.006993006993006993,1.0,0.7029702970297029,0.0,2,404,0.04,0.0049261083743842365,2,120,284,0,286,120,406,9769,0.2955665024630542
58,0.0, Assoc-voc,education,100,1,100_abs,0.993006993006993,0.297029702970297,1.0,0.006993006993006993,1.0,0.7029702970297029,0.0,2,404,0.02,0.0049261083743842365,2,120,284,0,286,120,406,9769,0.2955665024630542
59,1.0, Assoc-voc,education,9769,1,1.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
60,1.0, Assoc-voc,education,9769,1,2.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
61,1.0, Assoc-voc,education,9769,1,5.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
62,1.0, Assoc-voc,education,9769,1,10.0_pct,0.0,0.0,0.7044334975369458,1.0,0.0,0.0,0.2955665024630542,406,0,0.04156003685126421,1.0,286,0,0,120,286,120,406,9769,0.2955665024630542
63,0.0, Bachelors,education,10,1,10_abs,1.0,0.4074754901960784,0.0,0.0,1.0,0.5925245098039216,0.0,0,1632,0.0,0.0,0,665,967,0,967,665,1632,9769,0.4074754901960784
64,0.0015037593984962407, Bachelors,education,50,1,50_abs,0.9958634953464323,0.40811309157959436,0.8,0.004136504653567736,0.9984962406015038,0.5918869084204057,0.2,5,1627,0.1,0.0030637254901960784,4,664,963,1,967,665,1632,9769,0.4074754901960784
65,0.0015037593984962407, Bachelors,education,100,1,100_abs,0.9917269906928645,0.4091189155884165,0.8888888888888888,0.008273009307135471,0.9984962406015038,0.5908810844115835,0.1111111111111111,9,1623,0.09,0.0055147058823529415,8,664,959,1,967,665,1632,9769,0.4074754901960784
66,1.0, Bachelors,education,9769,1,1.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
67,1.0, Bachelors,education,9769,1,2.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
68,1.0, Bachelors,education,9769,1,5.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
69,1.0, Bachelors,education,9769,1,10.0_pct,0.0,0.0,0.5925245098039216,1.0,0.0,0.0,0.4074754901960784,1632,0,0.16705906438734774,1.0,967,0,0,665,967,665,1632,9769,0.4074754901960784
70,0.0, Doctorate,education,10,1,10_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
71,0.0, Doctorate,education,50,1,50_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
72,0.0, Doctorate,education,100,1,100_abs,1.0,0.728,0.0,0.0,1.0,0.272,0.0,0,125,0.0,0.0,0,91,34,0,34,91,125,9769,0.728
73,1.0, Doctorate,education,9769,1,1.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
74,1.0, Doctorate,education,9769,1,2.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
75,1.0, Doctorate,education,9769,1,5.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
76,1.0, Doctorate,education,9769,1,10.0_pct,0.0,0.0,0.272,1.0,0.0,0.0,0.728,125,0,0.012795577848295629,1.0,34,0,0,91,34,91,125,9769,0.728
77,0.0, HS-grad,education,10,1,10_abs,0.998158379373849,0.15550015581177937,1.0,0.001841620626151013,1.0,0.8444998441882207,0.0,5,3209,0.5,0.0015556938394523958,5,499,2710,0,2715,499,3214,9769,0.1552582451773491
78,0.004008016032064128, HS-grad,education,50,1,50_abs,0.9930018416206261,0.15565299091763232,0.9047619047619048,0.006998158379373849,0.9959919839679359,0.8443470090823677,0.09523809523809523,21,3193,0.42,0.006533914125700062,19,497,2696,2,2715,499,3214,9769,0.1552582451773491
79,0.004008016032064128, HS-grad,education,100,1,100_abs,0.9863720073664825,0.15653543307086615,0.9487179487179487,0.013627992633517496,0.9959919839679359,0.8434645669291339,0.05128205128205128,39,3175,0.39,0.012134411947728687,37,497,2678,2,2715,499,3214,9769,0.1552582451773491
