,TPR,group_value,group_variable,k,model_id,parameter,TNR,FOmR,FDR,FPR,FNR,NPV,Precision,PP,PN,PPR,PPrev,FP,FN,TN,TP,group_label_neg,group_label_pos,group_size,total_entities,Prev
80,1.0, HS-grad,education,9769,1,1.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
81,1.0, HS-grad,education,9769,1,2.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
82,1.0, HS-grad,education,9769,1,5.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
83,1.0, HS-grad,education,9769,1,10.0_pct,0.0,0.0,0.8447417548226509,1.0,0.0,0.0,0.1552582451773491,3214,0,0.32899989763537724,1.0,2715,0,0,499,2715,499,3214,9769,0.1552582451773491
84,0.0, Masters,education,10,1,10_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759
85,0.0, Masters,education,50,1,50_abs,1.0,0.5758835758835759,0.0,0.0,1.0,0.42411642411642414,0.0,0,481,0.0,0.0,0,277,204,0,204,277,481,9769,0.5758835758835759
86,0.0, Masters,education,100,1,100_abs,0.9901960784313726,0.5782881002087683,1.0,0.00980392156862745,1.0,0.42171189979123175,0.0,2,479,0.02,0.004158004158004158,2,277,202,0,204,277,481,9769,0.5758835758835759
87,1.0, Masters,education,9769,1,1.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
88,1.0, Masters,education,9769,1,2.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
89,1.0, Masters,education,9769,1,5.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
90,1.0, Masters,education,9769,1,10.0_pct,0.0,0.0,0.42411642411642414,1.0,0.0,0.0,0.5758835758835759,481,0,0.04923738356024158,1.0,204,0,0,277,204,277,481,9769,0.5758835758835759
91,0.0, Preschool,education,10,1,10_abs,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,16,0.0,0.0,0,0,16,0,16,0,16,9769,0.0
92,0.0, Preschool,education,50,1,50_abs,0.9375,0.0,1.0,0.0625,0.0,1.0,0.0,1,15,0.02,0.0625,1,0,15,0,16,0,16,9769,0.0
93,0.0, Preschool,education,100,1,100_abs,0.9375,0.0,1.0,0.0625,0.0,1.0,0.0,1,15,0.01,0.0625,1,0,15,0,16,0,16,9769,0.0
94,0.0, Preschool,education,9769,1,1.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
95,0.0, Preschool,education,9769,1,2.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
96,0.0, Preschool,education,9769,1,5.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
97,0.0, Preschool,education,9769,1,10.0_pct,0.0,0.0,1.0,1.0,0.0,0.0,0.0,16,0,0.0016378339645818406,1.0,16,0,0,0,16,0,16,9769,0.0
98,0.0, Prof-school,education,10,1,10_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
99,0.0, Prof-school,education,50,1,50_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
100,0.0, Prof-school,education,100,1,100_abs,1.0,0.6966292134831461,0.0,0.0,1.0,0.30337078651685395,0.0,0,178,0.0,0.0,0,124,54,0,54,124,178,9769,0.6966292134831461
101,1.0, Prof-school,education,9769,1,1.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
102,1.0, Prof-school,education,9769,1,2.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
103,1.0, Prof-school,education,9769,1,5.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
104,1.0, Prof-school,education,9769,1,10.0_pct,0.0,0.0,0.30337078651685395,1.0,0.0,0.0,0.6966292134831461,178,0,0.018220902855972977,1.0,54,0,0,124,54,124,178,9769,0.6966292134831461
105,0.00234192037470726, Some-college,education,10,1,10_abs,0.998314606741573,0.19337267362687244,0.75,0.0016853932584269663,0.9976580796252927,0.8066273263731275,0.25,4,2203,0.4,0.0018124150430448573,3,426,1777,1,1780,427,2207,9769,0.19347530584503853
106,0.00234192037470726, Some-college,education,50,1,50_abs,0.9910112359550561,0.19452054794520549,0.9411764705882353,0.008988764044943821,0.9976580796252927,0.8054794520547945,0.058823529411764705,17,2190,0.34,0.007702763932940644,16,426,1764,1,1780,427,2207,9769,0.19347530584503853
107,0.00468384074941452, Some-college,education,100,1,100_abs,0.9825842696629213,0.19549218031278748,0.9393939393939394,0.01741573033707865,0.9953161592505855,0.8045078196872125,0.06060606060606061,33,2174,0.33,0.014952424105120073,31,425,1749,2,1780,427,2207,9769,0.19347530584503853
108,1.0, Some-college,education,9769,1,1.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
109,1.0, Some-college,education,9769,1,2.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
110,1.0, Some-college,education,9769,1,5.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
111,1.0, Some-college,education,9769,1,10.0_pct,0.0,0.0,0.8065246941549615,1.0,0.0,0.0,0.19347530584503853,2207,0,0.22591872248950762,1.0,1780,0,0,427,1780,427,2207,9769,0.19347530584503853
112,0.0, Female,gender,10,1,10_abs,0.9978880675818373,0.11212026307547761,1.0,0.0021119324181626186,1.0,0.8878797369245224,0.0,6,3193,0.6,0.001875586120662707,6,358,2835,0,2841,358,3199,9769,0.11190997186620819
113,0.0, Female,gender,50,1,50_abs,0.9929602252727913,0.11261402956904687,1.0,0.007039774727208729,1.0,0.8873859704309531,0.0,20,3179,0.4,0.006251953735542357,20,358,2821,0,2841,358,3199,9769,0.11190997186620819
114,0.0, Female,gender,100,1,100_abs,0.9838085181274199,0.11354265778623533,1.0,0.016191481872580078,1.0,0.8864573422137647,0.0,46,3153,0.46,0.01437949359174742,46,358,2795,0,2841,358,3199,9769,0.11190997186620819
115,1.0, Female,gender,9769,1,1.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
116,1.0, Female,gender,9769,1,2.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
117,1.0, Female,gender,9769,1,5.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
118,1.0, Female,gender,9769,1,10.0_pct,0.0,0.0,0.8880900281337918,1.0,0.0,0.0,0.11190997186620819,3199,0,0.32746442829358174,1.0,2841,0,0,358,2841,358,3199,9769,0.11190997186620819
119,0.0005015045135406219, Male,gender,10,1,10_abs,0.9993444055944056,0.3035333536399634,0.75,0.0006555944055944056,0.9994984954864594,0.6964666463600365,0.25,4,6566,0.4,0.0006088280060882801,3,1993,4573,1,4576,1994,6570,9769,0.3035007610350076
120,0.0020060180541624875, Male,gender,50,1,50_abs,0.9943181818181818,0.30428134556574926,0.8666666666666667,0.005681818181818182,0.9979939819458375,0.6957186544342507,0.13333333333333333,30,6540,0.6,0.0045662100456621,26,1990,4550,4,4576,1994,6570,9769,0.3035007610350076
121,0.003009027081243731, Male,gender,100,1,100_abs,0.9895104895104895,0.3050951503990178,0.8888888888888888,0.01048951048951049,0.9969909729187563,0.6949048496009822,0.1111111111111111,54,6516,0.54,0.00821917808219178,48,1988,4528,6,4576,1994,6570,9769,0.3035007610350076
122,1.0, Male,gender,9769,1,1.0_pct,0.0,0.0,0.6964992389649924,1.0,0.0,0.0,0.3035007610350076,6570,0,0.6725355717064183,1.0,4576,0,0,1994,4576,1994,6570,9769,0.3035007610350076
123,1.0, Male,gender,9769,1,2.0_pct,0.0,0.0,0.6964992389649924,1.0,0.0,0.0,0.3035007610350076,6570,0,0.6725355717064183,1.0,4576,0,0,1994,4576,1994,6570,9769,0.3035007610350076
124,1.0, Male,gender,9769,1,5.0_pct,0.0,0.0,0.6964992389649924,1.0,0.0,0.0,0.3035007610350076,6570,0,0.6725355717064183,1.0,4576,0,0,1994,4576,1994,6570,9769,0.3035007610350076
125,1.0, Male,gender,9769,1,10.0_pct,0.0,0.0,0.6964992389649924,1.0,0.0,0.0,0.3035007610350076,6570,0,0.6725355717064183,1.0,4576,0,0,1994,4576,1994,6570,9769,0.3035007610350076
126,0.0, Amer-Indian-Eskimo,race,10,1,10_abs,1.0,0.1,0.0,0.0,1.0,0.9,0.0,0,100,0.0,0.0,0,10,90,0,90,10,100,9769,0.1
127,0.0, Amer-Indian-Eskimo,race,50,1,50_abs,1.0,0.1,0.0,0.0,1.0,0.9,0.0,0,100,0.0,0.0,0,10,90,0,90,10,100,9769,0.1
128,0.0, Amer-Indian-Eskimo,race,100,1,100_abs,1.0,0.1,0.0,0.0,1.0,0.9,0.0,0,100,0.0,0.0,0,10,90,0,90,10,100,9769,0.1
129,1.0, Amer-Indian-Eskimo,race,9769,1,1.0_pct,0.0,0.0,0.9,1.0,0.0,0.0,0.1,100,0,0.010236462278636503,1.0,90,0,0,10,90,10,100,9769,0.1
130,1.0, Amer-Indian-Eskimo,race,9769,1,2.0_pct,0.0,0.0,0.9,1.0,0.0,0.0,0.1,100,0,0.010236462278636503,1.0,90,0,0,10,90,10,100,9769,0.1
131,1.0, Amer-Indian-Eskimo,race,9769,1,5.0_pct,0.0,0.0,0.9,1.0,0.0,0.0,0.1,100,0,0.010236462278636503,1.0,90,0,0,10,90,10,100,9769,0.1
132,1.0, Amer-Indian-Eskimo,race,9769,1,10.0_pct,0.0,0.0,0.9,1.0,0.0,0.0,0.1,100,0,0.010236462278636503,1.0,90,0,0,10,90,10,100,9769,0.1
133,0.0, Asian-Pac-Islander,race,10,1,10_abs,1.0,0.2706270627062706,0.0,0.0,1.0,0.7293729372937293,0.0,0,303,0.0,0.0,0,82,221,0,221,82,303,9769,0.2706270627062706
134,0.0, Asian-Pac-Islander,race,50,1,50_abs,0.9909502262443439,0.2724252491694352,1.0,0.00904977375565611,1.0,0.7275747508305648,0.0,2,301,0.04,0.006600660066006601,2,82,219,0,221,82,303,9769,0.2706270627062706
135,0.0, Asian-Pac-Islander,race,100,1,100_abs,0.9864253393665159,0.2733333333333333,1.0,0.013574660633484163,1.0,0.7266666666666667,0.0,3,300,0.03,0.009900990099009901,3,82,218,0,221,82,303,9769,0.2706270627062706
136,1.0, Asian-Pac-Islander,race,9769,1,1.0_pct,0.0,0.0,0.7293729372937293,1.0,0.0,0.0,0.2706270627062706,303,0,0.031016480704268604,1.0,221,0,0,82,221,82,303,9769,0.2706270627062706
137,1.0, Asian-Pac-Islander,race,9769,1,2.0_pct,0.0,0.0,0.7293729372937293,1.0,0.0,0.0,0.2706270627062706,303,0,0.031016480704268604,1.0,221,0,0,82,221,82,303,9769,0.2706270627062706
138,1.0, Asian-Pac-Islander,race,9769,1,5.0_pct,0.0,0.0,0.7293729372937293,1.0,0.0,0.0,0.2706270627062706,303,0,0.031016480704268604,1.0,221,0,0,82,221,82,303,9769,0.2706270627062706
139,1.0, Asian-Pac-Islander,race,9769,1,10.0_pct,0.0,0.0,0.7293729372937293,1.0,0.0,0.0,0.2706270627062706,303,0,0.031016480704268604,1.0,221,0,0,82,221,82,303,9769,0.2706270627062706
140,0.0, Black,race,10,1,10_abs,0.9988066825775657,0.13354037267080746,1.0,0.0011933174224343676,1.0,0.8664596273291926,0.0,1,966,0.1,0.001034126163391934,1,129,837,0,838,129,967,9769,0.13340227507755947
141,0.0, Black,race,50,1,50_abs,0.9952267303102625,0.13395638629283488,1.0,0.00477326968973747,1.0,0.8660436137071651,0.0,4,963,0.08,0.004136504653567736,4,129,834,0,838,129,967,9769,0.13340227507755947
142,0.0, Black,race,100,1,100_abs,0.9916467780429594,0.134375,1.0,0.008353221957040573,1.0,0.865625,0.0,7,960,0.07,0.007238883143743537,7,129,831,0,838,129,967,9769,0.13340227507755947
143,1.0, Black,race,9769,1,1.0_pct,0.0,0.0,0.8665977249224406,1.0,0.0,0.0,0.13340227507755947,967,0,0.09898659023441499,1.0,838,0,0,129,838,129,967,9769,0.13340227507755947
144,1.0, Black,race,9769,1,2.0_pct,0.0,0.0,0.8665977249224406,1.0,0.0,0.0,0.13340227507755947,967,0,0.09898659023441499,1.0,838,0,0,129,838,129,967,9769,0.13340227507755947
145,1.0, Black,race,9769,1,5.0_pct,0.0,0.0,0.8665977249224406,1.0,0.0,0.0,0.13340227507755947,967,0,0.09898659023441499,1.0,838,0,0,129,838,129,967,9769,0.13340227507755947
146,1.0, Black,race,9769,1,10.0_pct,0.0,0.0,0.8665977249224406,1.0,0.0,0.0,0.13340227507755947,967,0,0.09898659023441499,1.0,838,0,0,129,838,129,967,9769,0.13340227507755947
147,0.0, Other,race,10,1,10_abs,1.0,0.1095890410958904,0.0,0.0,1.0,0.8904109589041096,0.0,0,73,0.0,0.0,0,8,65,0,65,8,73,9769,0.1095890410958904
148,0.0, Other,race,50,1,50_abs,0.9846153846153847,0.1111111111111111,1.0,0.015384615384615385,1.0,0.8888888888888888,0.0,1,72,0.02,0.0136986301369863,1,8,64,0,65,8,73,9769,0.1095890410958904
149,0.0, Other,race,100,1,100_abs,0.9538461538461539,0.11428571428571428,1.0,0.046153846153846156,1.0,0.8857142857142857,0.0,3,70,0.03,0.0410958904109589,3,8,62,0,65,8,73,9769,0.1095890410958904
150,1.0, Other,race,9769,1,1.0_pct,0.0,0.0,0.8904109589041096,1.0,0.0,0.0,0.1095890410958904,73,0,0.007472617463404647,1.0,65,0,0,8,65,8,73,9769,0.1095890410958904
151,1.0, Other,race,9769,1,2.0_pct,0.0,0.0,0.8904109589041096,1.0,0.0,0.0,0.1095890410958904,73,0,0.007472617463404647,1.0,65,0,0,8,65,8,73,9769,0.1095890410958904
152,1.0, Other,race,9769,1,5.0_pct,0.0,0.0,0.8904109589041096,1.0,0.0,0.0,0.1095890410958904,73,0,0.007472617463404647,1.0,65,0,0,8,65,8,73,9769,0.1095890410958904
153,1.0, Other,race,9769,1,10.0_pct,0.0,0.0,0.8904109589041096,1.0,0.0,0.0,0.1095890410958904,73,0,0.007472617463404647,1.0,65,0,0,8,65,8,73,9769,0.1095890410958904
154,0.0004710315591144607, White,race,10,1,10_abs,0.9987103014670321,0.2551400745461104,0.8888888888888888,0.0012896985329679186,0.9995289684408856,0.7448599254538896,0.1111111111111111,9,8317,0.9,0.001080951237088638,8,2122,6195,1,6203,2123,8326,9769,0.2549843862599087
155,0.0018841262364578427, White,race,50,1,50_abs,0.9937127196517814,0.2558251841120367,0.9069767441860465,0.006287280348218604,0.9981158737635422,0.7441748158879633,0.09302325581395349,43,8283,0.86,0.005164544799423493,39,2119,6164,4,6203,2123,8326,9769,0.2549843862599087
156,0.002826189354686764, White,race,100,1,100_abs,0.9869418023536998,0.2569486588178177,0.9310344827586207,0.013058197646300177,0.9971738106453132,0.7430513411821823,0.06896551724137931,87,8239,0.87,0.010449195291856834,81,2117,6122,6,6203,2123,8326,9769,0.2549843862599087
157,1.0, White,race,9769,1,1.0_pct,0.0,0.0,0.7450156137400913,1.0,0.0,0.0,0.2549843862599087,8326,0,0.8522878493192753,1.0,6203,0,0,2123,6203,2123,8326,9769,0.2549843862599087
158,1.0, White,race,9769,1,2.0_pct,0.0,0.0,0.7450156137400913,1.0,0.0,0.0,0.2549843862599087,8326,0,0.8522878493192753,1.0,6203,0,0,2123,6203,2123,8326,9769,0.2549843862599087
159,1.0, White,race,9769,1,5.0_pct,0.0,0.0,0.7450156137400913,1.0,0.0,0.0,0.2549843862599087,8326,0,0.8522878493192753,1.0,6203,0,0,2123,6203,2123,8326,9769,0.2549843862599087
160,1.0, White,race,9769,1,10.0_pct,0.0,0.0,0.7450156137400913,1.0,0.0,0.0,0.2549843862599087,8326,0,0.8522878493192753,1.0,6203,0,0,2123,6203,2123,8326,9769,0.2549843862599087
